Trading_date,Option_code,K,C,Trading_volume,Maturity_date,T,S,q,r,Rt,Rt2,sigma2,EWMA_sigma
2015/2/9,10000001,2.2,0.1826,2501,2015-03-25T00:00:00Z,0.120547945,2.331,0.02030313,0.0275,0,0,0,0
2015/2/10,10000001,2.2,0.2072,1842,2015-03-25T00:00:00Z,0.117808219,2.369,0.02030313,0.0275,0.016302,0.000266,0.000016,0.063389484
2015/2/11,10000001,2.2,0.2107,1999,2015-03-25T00:00:00Z,0.115068493,2.38,0.02030313,0.0275,0.004643,0.000022,0.000016,0.064055641
2015/2/12,10000001,2.2,0.2109,2334,2015-03-25T00:00:00Z,0.112328767,2.384,0.02030313,0.0275,0.001681,0.000003,0.000015,0.06244715
2015/2/13,10000049,2.5,0.0294,3069,2015-03-25T00:00:00Z,0.109589041,2.39,0.02030313,0.0275,0.002517,0.000006,0.000015,0.061330583
2015/2/16,10000001,2.2,0.2172,1153,2015-03-25T00:00:00Z,0.101369863,2.394,0.02030313,0.0275,0.001674,0.000003,0.000014,0.059817274
2015/2/17,10000001,2.2,0.2296,759,2015-03-25T00:00:00Z,0.098630137,2.411,0.02030313,0.0275,0.007101,0.00005,0.000016,0.064232797
2015/2/25,10000049,2.5,0.0208,1866,2015-03-25T00:00:00Z,0.076712329,2.37,0.02030313,0.0275,-0.017005,0.000289,0.000033,0.090833658
2015/2/26,10000001,2.2,0.253,1246,2015-03-25T00:00:00Z,0.073972603,2.45,0.02030313,0.0275,0.033755,0.001139,0.000099,0.158062382
2015/2/27,10000057,2.55,0.0272,3051,2015-03-25T00:00:00Z,0.071232877,2.438,0.02030313,0.0275,-0.004898,0.000024,0.000095,0.154426107
2015/3/2,10000057,2.55,0.029,1343,2015-03-25T00:00:00Z,0.06284153,2.441,0.02030313,0.025,0.001231,0.000002,0.000089,0.149798102
2015/3/3,10000057,2.55,0.0108,1308,2015-03-25T00:00:00Z,0.06010929,2.364,0.02030313,0.025,-0.031544,0.000995,0.000143,0.190100745
2015/3/4,10000005,2.4,0.0449,1646,2015-03-25T00:00:00Z,0.057377049,2.362,0.02030313,0.025,-0.000846,0.000001,0.000135,0.184338867
2015/3/5,10000005,2.4,0.0291,2298,2015-03-25T00:00:00Z,0.054644809,2.334,0.02030313,0.025,-0.011854,0.000141,0.000135,0.18457172
2015/3/6,10000005,2.4,0.0282,2134,2015-03-25T00:00:00Z,0.051912568,2.339,0.02030313,0.025,0.002142,0.000005,0.000127,0.179142696
2015/3/9,10000041,2.45,0.0271,3167,2015-03-25T00:00:00Z,0.043715847,2.397,0.02030313,0.025,0.024797,0.000615,0.000157,0.198654665
2015/3/10,10000005,2.4,0.0297,1566,2015-03-25T00:00:00Z,0.040983607,2.359,0.02030313,0.025,-0.015853,0.000251,0.000162,0.202227222
2015/3/11,10000005,2.4,0.0307,1270,2015-03-25T00:00:00Z,0.038251366,2.374,0.02030313,0.025,0.006359,0.00004,0.000155,0.197619412
2015/3/12,10000005,2.4,0.0699,2233,2015-03-25T00:00:00Z,0.035519126,2.448,0.02030313,0.025,0.031171,0.000972,0.000204,0.226718567
2015/3/13,10000049,2.5,0.0205,1538,2015-03-25T00:00:00Z,0.032786885,2.455,0.02030313,0.025,0.002859,0.000008,0.000192,0.220092846
