Trading_date,Option_code,K,C,Trading_volume,Maturity_date,T,S,q,r,Rt,Rt2,sigma2,EWMA_sigma,estimated_sigma,spot_price_using_estimation,gap
2015/2/10,10000001,2.2,0.2072,1842,2015-03-25T00:00:00Z,0.117808219,2.369,0.02030313,0.0275,0.016302,0.000266,1.60E-05,0.063389484,0.319689484,0.207203135,0
2015/2/11,10000001,2.2,0.2107,1999,2015-03-25T00:00:00Z,0.115068493,2.38,0.02030313,0.0275,0.004643,2.20E-05,1.60E-05,0.064055641,0.302055641,0.210708805,0
2015/2/12,10000001,2.2,0.2109,2334,2015-03-25T00:00:00Z,0.112328767,2.384,0.02030313,0.0275,0.001681,3.00E-06,1.50E-05,0.06244715,0.29224715,0.210912672,0
2015/2/13,10000049,2.5,0.0294,3069,2015-03-25T00:00:00Z,0.109589041,2.39,0.02030313,0.0275,0.002517,6.00E-06,1.50E-05,0.061330583,0.219330583,0.029419089,0
2015/2/16,10000001,2.2,0.2172,1153,2015-03-25T00:00:00Z,0.101369863,2.394,0.02030313,0.0275,0.001674,3.00E-06,1.40E-05,0.059817274,0.298717274,0.217206446,0
2015/2/17,10000001,2.2,0.2296,759,2015-03-25T00:00:00Z,0.098630137,2.411,0.02030313,0.0275,0.007101,5.00E-05,1.60E-05,0.064232797,0.292832797,0.229609629,0
2015/2/25,10000049,2.5,0.0208,1866,2015-03-25T00:00:00Z,0.076712329,2.37,0.02030313,0.0275,-0.017005,0.000289,3.30E-05,0.090833658,0.246233658,0.020807321,0
2015/2/26,10000001,2.2,0.253,1246,2015-03-25T00:00:00Z,0.073972603,2.45,0.02030313,0.0275,0.033755,0.001139,9.90E-05,0.158062382,0.225262382,0.253003239,0
2015/2/27,10000057,2.55,0.0272,3051,2015-03-25T00:00:00Z,0.071232877,2.438,0.02030313,0.0275,-0.004898,2.40E-05,9.50E-05,0.154426107,0.259626107,0.027201139,0
2015/3/2,10000057,2.55,0.029,1343,2015-03-25T00:00:00Z,0.06284153,2.441,0.02030313,0.025,0.001231,2.00E-06,8.90E-05,0.149798102,0.281898102,0.029015151,0
2015/3/3,10000057,2.55,0.0108,1308,2015-03-25T00:00:00Z,0.06010929,2.364,0.02030313,0.025,-0.031544,0.000995,0.000143,0.190100745,0.274100745,0.010801581,0
