Trading_date,option_code,K,P,Trading_volume,Maturity_date,T,S,q,r,Rt,Rt2,sigma2,EWMA_sigma,estimated_sigma,spot_price_using_estimation,gap
2015/2/10,10000006,2.2,0.0451,1626,2015-03-25T00:00:00Z,0.117808219,2.369,0.02030313,0.0275,0.016302,0.000266,1.60E-05,0.063389,0.352889,0.045115403,0
2015/2/11,10000006,2.2,0.0321,2368,2015-03-25T00:00:00Z,0.115068493,2.38,0.02030313,0.0275,0.004643,2.20E-05,1.60E-05,0.064056,0.314156,0.032106483,0
2015/2/12,10000006,2.2,0.0224,1460,2015-03-25T00:00:00Z,0.112328767,2.384,0.02030313,0.0275,0.001681,3.00E-06,1.50E-05,0.062447,0.277447,0.022412356,0
2015/2/13,10000010,2.4,0.073,2789,2015-03-25T00:00:00Z,0.109589041,2.39,0.02030313,0.0275,0.002517,6.00E-06,1.50E-05,0.061331,0.218431,0.073014364,0
2015/2/16,10000008,2.3,0.0305,964,2015-03-25T00:00:00Z,0.101369863,2.394,0.02030313,0.0275,0.001674,3.00E-06,1.40E-05,0.059817,0.228117,0.0305005,0
2015/2/17,10000050,2.5,0.1203,822,2015-03-25T00:00:00Z,0.098630137,2.411,0.02030313,0.0275,0.007101,5.00E-05,1.60E-05,0.064233,0.222033,0.120316626,0
2015/2/25,10000006,2.2,0.0146,955,2015-03-25T00:00:00Z,0.076712329,2.37,0.02030313,0.0275,-0.017005,0.000289,3.30E-05,0.090834,0.273134,0.014601137,0
2015/2/26,10000006,2.2,0.0055,1734,2015-03-25T00:00:00Z,0.073972603,2.45,0.02030313,0.0275,0.033755,0.001139,9.90E-05,0.158062,0.272362,0.005503632,0
2015/2/27,10000007,2.25,0.0108,1642,2015-03-25T00:00:00Z,0.071232877,2.438,0.02030313,0.0275,-0.004898,2.40E-05,9.50E-05,0.154426,0.267826,0.010804068,0
2015/3/2,10000006,2.2,0.0056,1291,2015-03-25T00:00:00Z,0.06284153,2.441,0.02030313,0.025,0.001231,2.00E-06,8.90E-05,0.149798,0.288598,0.005603478,0
2015/3/3,10000010,2.4,0.0815,850,2015-03-25T00:00:00Z,0.06010929,2.364,0.02030313,0.025,-0.031544,0.000995,0.000143,0.190101,0.267801,0.081518468,0
2015/3/4,10000009,2.35,0.0501,1875,2015-03-25T00:00:00Z,0.057377049,2.362,0.02030313,0.025,-0.000846,1.00E-06,0.000135,0.184339,0.249939,0.050105998,0
2015/3/5,10000009,2.35,0.0623,2300,2015-03-25T00:00:00Z,0.054644809,2.334,0.02030313,0.025,-0.011854,0.000141,0.000135,0.184572,0.248872,0.062317215,0
2015/3/6,10000009,2.35,0.0574,2668,2015-03-25T00:00:00Z,0.051912568,2.339,0.02030313,0.025,0.002142,5.00E-06,0.000127,0.179143,0.244543,0.057419456,0
2015/3/9,10000010,2.4,0.054,4190,2015-03-25T00:00:00Z,0.043715847,2.397,0.02030313,0.025,0.024797,0.000615,0.000157,0.198655,0.263955,0.054010946,0
2015/3/10,10000009,2.35,0.0403,1042,2015-03-25T00:00:00Z,0.040983607,2.359,0.02030313,0.025,-0.015853,0.000251,0.000162,0.202227,0.236227,0.040310222,0
2015/3/11,10000009,2.35,0.0341,1167,2015-03-25T00:00:00Z,0.038251366,2.374,0.02030313,0.025,0.006359,4.00E-05,0.000155,0.197619,0.245819,0.034100673,0
2015/3/12,10000010,2.4,0.023,1638,2015-03-25T00:00:00Z,0.035519126,2.448,0.02030313,0.025,0.031171,0.000972,0.000204,0.226719,0.235719,0.023003638,0
2015/3/13,10000010,2.4,0.0188,1292,2015-03-25T00:00:00Z,0.032786885,2.455,0.02030313,0.025,0.002859,8.00E-06,0.000192,0.220093,0.231793,0.018800869,0
2015/3/16,10000010,2.4,0.0056,1384,2015-03-25T00:00:00Z,0.024590164,2.51,0.02030313,0.025,0.022403,0.000502,0.000211,0.230485,0.244685,0.005602021,0
2015/3/17,10000050,2.5,0.0175,1001,2015-03-25T00:00:00Z,0.021857923,2.543,0.02030313,0.025,0.013147,0.000173,0.000209,0.229237,0.235137,0.017503528,0
2015/3/18,10000058,2.55,0.0119,1532,2015-03-25T00:00:00Z,0.019125683,2.611,0.02030313,0.025,0.02674,0.000715,0.000239,0.245373,0.239773,0.011898791,0
2015/3/19,10000058,2.55,0.018,1240,2015-03-25T00:00:00Z,0.016393443,2.587,0.02030313,0.025,-0.009192,8.40E-05,0.00023,0.240568,0.254368,0.018011054,0
2015/3/20,10000066,2.6,0.0163,2555,2015-03-25T00:00:00Z,0.013661202,2.635,0.02030313,0.025,0.018554,0.000344,0.000237,0.244143,0.251943,0.016305731,0
2015/3/23,10000074,2.65,0.013,2856,2015-03-25T00:00:00Z,0.005464481,2.676,0.02030313,0.025,0.01556,0.000242,0.000237,0.244315,0.303115,0.013004576,0
2015/3/24,10000074,2.65,0.0213,2787,2015-03-25T00:00:00Z,0.00273224,2.638,0.02030313,0.025,-0.0142,0.000202,0.000235,0.243223,0.263823,0.021303967,0
2015/3/26,10000068,2.6,0.0636,984,2015-04-22T00:00:00Z,0.073770492,2.643,0.02030313,0.025,0.014977,0.000224,0.00023,0.240882,0.295282,0.063614276,0
2015/3/27,10000068,2.6,0.0583,667,2015-04-22T00:00:00Z,0.071038251,2.649,0.02030313,0.025,0.00227,5.00E-06,0.000217,0.23371,0.29001,0.058311355,0
2015/3/30,10000100,2.8,0.118,744,2015-04-22T00:00:00Z,0.06284153,2.74,0.02030313,0.025,0.034353,0.00118,0.000275,0.263033,0.308133,0.118003499,0
2015/3/31,10000084,2.7,0.0755,990,2015-04-22T00:00:00Z,0.06010929,2.707,0.02030313,0.025,-0.012044,0.000145,0.000267,0.259284,0.300484,0.075514187,0
2015/4/1,10000052,2.5,0.012,1398,2015-04-22T00:00:00Z,0.057377049,2.753,0.02030313,0.025,0.016993,0.000289,0.000268,0.259925,0.337725,0.012007553,0
2015/4/2,10000084,2.7,0.0699,1443,2015-04-22T00:00:00Z,0.054644809,2.739,0.02030313,0.025,-0.005085,2.60E-05,0.000254,0.252781,0.348781,0.069908648,0
2015/4/3,10000052,2.5,0.0108,1160,2015-04-22T00:00:00Z,0.051912568,2.773,0.02030313,0.025,0.012413,0.000154,0.000248,0.249788,0.362488,0.010803329,0
